period,rand_frac,head_frac,rand_tokens,head_tokens,combined_tokens
2021-12,0.008498009291566919,0.008692639646950481,0.007575865017568104,0.0009432641929828311,0.008519129210550935
2022-01,0.008506223469420647,0.008692639646950481,0.007583187850541692,0.0009432641929828311,0.008526452043524523
2022-02,0.008509868814622007,0.008692639646950481,0.007586437628488552,0.0009432641929828311,0.008529701821471383
2022-03,0.004100225956965329,0.008692639646950481,0.0036552982381795893,0.0009432641929828311,0.0045985624311624205
2022-04,0.004119920541973204,0.008692639646950481,0.0036728557051671513,0.0009432641929828311,0.0046161198981499825
2022-05,0.004119920541973204,0.012154792589843514,0.0036728557051671513,0.0013189527104295194,0.00499180841559667
2022-06,0.004205571572824335,0.008692639646950481,0.0037492124878065456,0.0009432641929828311,0.004692476680789376
2022-07,0.004205571572824335,0.008692639646950481,0.0037492124878065456,0.0009432641929828311,0.004692476680789376
2022-08,0.004205571572824335,0.008692639646950481,0.0037492124878065456,0.0009432641929828311,0.004692476680789376
2022-09,0.0042605239366197535,0.008692639646950481,0.0037982018070961254,0.0009432641929828311,0.0047414660000789565
2022-10,0.004446815657790002,0.007647129643471106,0.0039642784592923965,0.0008298127915971286,0.004794091250889525
2022-11,0.004446815657790002,0.007647129643471106,0.0039642784592923965,0.0008298127915971286,0.004794091250889525
2022-12,0.004748543310336617,0.00938913261410509,0.0042332647464725275,0.0010188427172590315,0.005252107463731559
2023-01,0.004748543310336617,0.008586416426819551,0.0042332647464725275,0.0009317375952999294,0.005165002341772457
2023-02,0.004748543310336617,0.008586416426819551,0.0042332647464725275,0.0009317375952999294,0.005165002341772457
2023-03,0.004748543310336617,0.00938913261410509,0.0042332647464725275,0.0010188427172590315,0.005252107463731559
2023-04,0.004748543310336617,0.00938913261410509,0.0042332647464725275,0.0010188427172590315,0.005252107463731559
2023-05,0.005821178845146086,0.009594710220589829,0.005189505407779825,0.0010411505550335098,0.006230655962813335
2023-06,0.005818943033422586,0.01131759995177227,0.005187512210639085,0.0012281064462112072,0.006415618656850293
2023-07,0.005818943033422586,0.022756031374154592,0.005187512210639085,0.0024693246748315593,0.007656836885470645
2023-08,0.0077958769221030365,0.026950371753689185,0.006949923120705006,0.002924465029647137,0.009874388150352143
2023-09,0.030982741516562367,0.16153295781840507,0.027620712045656092,0.017528421893131255,0.04514913393878735
2023-10,0.03456296627124424,0.2180288883780545,0.03081243595927217,0.023658963421429507,0.05447139938070168
2023-11,0.03831959657091029,0.2711273828853532,0.034161423127292645,0.029420839054638503,0.06358226218193115
2023-12,0.03897948181972055,0.28657251729731653,0.03474970226427028,0.031096836546576745,0.06584653881084702
2024-01,0.04354697298505634,0.2894154491255947,0.03882156137271549,0.03140533153838821,0.0702268929111037
2024-02,0.021890842305710586,0.291531095351904,0.019515401871060285,0.0316349066054965,0.051150308476556786
2024-03,0.021306683027883216,0.2962417795463623,0.01899463145463206,0.03214607696404708,0.05114070841867914
2024-04,0.020535677936414993,0.32627653233959064,0.018307290419759644,0.03540523735785016,0.053712527777609806
