bucket_midpoint,count
10132.0,45495
10224.5,45230
10318.0,45325
10412.0,45101
10507.5,45422
10604.5,44810
10702.5,45476
10802.5,45453
10904.0,45111
11006.5,45177
11110.5,45211
11216.5,45193
11324.0,45517
11431.5,44905
11540.5,45378
11652.0,45363
11765.5,45327
11880.5,45150
11996.0,45114
12113.5,45219
12233.5,45491
12354.5,45104
12477.0,45152
12601.5,45296
12727.5,45264
12855.5,45133
12985.5,45349
13118.5,45204
13253.5,45189
13389.5,45219
13528.5,45559
13669.0,44996
13811.5,45238
13957.0,45230
14104.5,45402
14254.5,45345
14406.5,45227
14560.0,45093
14716.0,45225
14876.0,45392
15039.0,45274
15204.0,45148
15372.5,45337
15544.0,45176
15717.5,45251
15894.5,45252
16075.0,45328
16258.0,45262
16444.0,45222
16633.5,45204
16825.0,45107
17019.5,45391
17218.5,45290
17420.5,45053
17626.5,45337
17836.0,45305
18048.5,45280
18266.0,45172
18487.5,45168
18712.5,45284
18943.0,45370
19178.780000001192,45251
19417.280000001192,45197
19659.0,45269
19905.0,45135
20157.0,45277
20415.5,45342
20678.0,45228
20944.0,45156
21215.0,45219
21491.5,45340
21773.5,45242
22060.5,45165
22352.5,45311
22651.5,45270
22956.5,45148
23267.5,45352
23585.5,45149
23910.0,45342
24239.5,45138
24574.5,45269
24918.5,45234
25271.0,45320
25631.5,45204
26000.5,45303
26376.5,45165
26760.5,45301
27153.0,45223
27553.5,45276
27963.0,45241
28381.0,45217
28809.0,45222
29250.0,45255
29701.5,45301
30162.0,45174
30634.0,45330
31119.0,45198
31616.5,45265
32124.0,45221
32643.0,45271
33176.5,45206
33723.5,45293
34286.0,45196
34863.5,45309
35453.5,45218
36058.0,45246
36678.5,45260
37317.5,45254
37975.0,45218
38652.5,45236
39349.5,45247
40066.5,45242
40802.5,45239
41560.5,45253
42347.0,45277
43154.0,45237
43984.5,45216
44843.0,45278
45726.0,45244
46634.5,45247
47572.0,45237
48540.0,45231
49542.5,45260
50581.5,45255
51650.0,45241
52753.5,45222
53896.5,45266
55081.0,45254
56311.5,45232
57589.5,45245
58913.5,45252
60279.5,45234
61697.754000000656,45265
63174.90200000256,45245
64700.64800000191,45225
66290.0,45253
67953.5,45242
69678.0,45242
71471.0,45248
73336.0,45237
75275.5,45265
77306.0,45235
79434.5,45249
81658.5,45231
83984.0,45244
86412.5,45248
88957.5,45259
91625.0,45246
94423.5,45245
97370.5,45240
100473.5,45242
103751.0,45248
107209.0,45240
110861.0,45253
114728.0,45242
118820.5,45249
123141.5,45243
127708.0,45243
132559.0,45248
137719.5,45241
143241.0,45243
149117.5,45247
155410.5,45249
162202.5,45242
169438.0,45247
177181.0,45245
185585.0,45240
194760.54399999976,45252
204821.04399999976,45240
215881.5,45247
228001.5,45245
241275.5,45244
255942.5,45245
272213.5,45246
290341.0,45244
310549.0,45245
333327.0,45246
359292.5,45244
389193.0,45245
423773.2719999999,45246
464054.2700000033,45245
511670.55800000206,45245
568767.5599999987,45243
638315.6960000023,45246
724990.0999999866,45245
835095.4039999843,45244
978269.5600000024,45246
1176300.484000001,45244
1475348.6499999985,45245
2002350.3620000035,45245
3241728.4499999173,45245
23055800.313999914,45245
