bucket_midpoint,count
2706.5,33076
2725.5,33093
2744.5,32620
2764.0,34034
2783.5,32066
2803.0,33499
2823.0,33097
2843.5,34191
2864.0,32270
2884.5,33952
2905.5,33402
2926.5,32877
2947.5,32782
2969.0,33996
2990.5,32226
3012.0,33268
3034.0,33022
3056.5,34237
3079.0,32861
3101.5,33808
3124.5,32947
3147.5,32575
3171.0,33774
3195.0,33666
3219.0,33159
3243.0,32996
3267.0,32723
3291.5,33578
3316.5,33281
3341.5,32670
3367.0,33586
3393.0,33220
3419.0,32889
3445.5,33944
3472.0,32278
3498.5,33184
3526.0,33953
3553.5,32344
3581.0,33659
3609.0,33071
3637.5,33635
3666.5,33387
3695.5,33089
3724.5,32665
3754.0,33334
3784.0,33398
3814.5,33571
3845.0,32484
3876.0,34002
3907.5,32486
3939.0,33593
3971.0,32785
4003.5,33669
4036.5,33010
4069.5,33178
4103.0,33830
4137.0,32921
4171.0,32760
4205.5,33306
4241.0,33769
4277.0,33356
4313.0,32990
4349.0,32649
4386.0,33796
4423.5,32617
4461.0,33385
4499.5,33656
4538.5,33123
4577.5,33119
4617.0,33476
4657.0,32790
4697.5,33307
4739.0,33647
4780.5,32535
4822.5,33707
4865.0,32714
4908.0,33685
4952.0,33065
4996.0,32814
5040.5,33308
5086.0,33209
5132.5,33433
5179.5,33250
5227.0,33350
5275.0,33125
5323.5,33383
5372.5,32831
5422.0,33496
5472.5,33179
5523.5,33168
5575.0,32922
5627.5,33428
5681.0,33507
5735.0,33123
5789.0,32923
5844.0,33487
5900.5,33337
5957.5,33186
6015.0,33054
6073.5,33272
6133.0,32994
6193.5,33419
6254.5,32994
6316.5,33288
6380.0,33485
6444.0,32869
6508.5,33187
6574.5,33525
6641.5,32938
6709.5,33502
6778.5,33235
6848.0,32980
6919.0,33396
6991.5,33241
7064.5,32829
7138.5,33320
7213.5,33288
7289.5,33339
7367.0,33190
7445.5,33086
7525.5,33143
7607.5,33241
7691.0,33403
7775.0,32996
7860.5,33384
7947.5,33129
8036.0,33300
8126.5,33220
8218.0,33144
8310.5,33061
8405.0,33468
8501.5,33217
8599.0,33223
8698.0,33147
8799.0,33158
8902.5,33242
9008.0,33282
9114.5,33102
9223.0,33145
9334.0,33363
9446.5,32994
9561.0,33256
9677.5,33269
9796.0,33296
9917.0,33213
10039.5,33022
10164.5,33399
10292.0,33019
10422.0,33342
10555.5,33111
10692.0,33228
10831.0,33275
10972.0,33279
11115.0,33128
11261.5,33215
11412.0,33239
11564.5,33114
11720.5,33402
11879.5,33032
12041.5,33339
12209.0,33173
12379.5,33271
12552.5,33110
12729.5,33248
12910.0,33285
13094.5,33148
13283.5,33194
13477.5,33287
13675.5,33051
13877.5,33236
14084.0,33326
14295.5,33195
14511.5,33118
14732.5,33303
14959.5,33158
15192.0,33257
15430.0,33145
15673.5,33259
15922.5,33119
16177.5,33243
16439.5,33291
16707.5,33181
16982.5,33196
17265.5,33136
17556.5,33320
17854.5,33140
18160.5,33277
18476.0,33158
18801.0,33230
19135.0,33238
19478.0,33217
19832.0,33149
20194.5,33269
20566.5,33212
20950.0,33213
21343.5,33143
21749.5,33259
22167.0,33164
22598.5,33235
23045.5,33222
23509.0,33193
23985.0,33223
24474.0,33220
24980.5,33207
25505.5,33188
26050.0,33183
26611.5,33229
27194.5,33192
27800.5,33225
28424.5,33199
29070.0,33232
29742.5,33213
30437.5,33173
31159.5,33255
31911.0,33184
32691.0,33219
33507.0,33208
34355.572000000626,33237
35236.572000000626,33202
36159.5,33184
37122.5,33237
38125.5,33192
39173.5,33202
40274.0,33217
41433.0,33207
42647.5,33203
43919.5,33231
45264.0,33209
46681.5,33210
48177.5,33203
49759.5,33213
51415.5,33205
53163.09200000018,33216
55022.09200000018,33206
56982.0,33204
59084.5,33214
61341.5,33209
63719.0,33198
66258.5,33219
68995.5,33208
71941.5,33195
75132.0,33224
78591.0,33201
82381.5,33210
86519.5,33211
