ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Level,Countries,Family_ID,Language_ID,Closest_ISO369P3code,First_Year_Of_Documentation,Last_Year_Of_Documentation,Is_Isolate
dree1234,Dre,Papunesia,-8.5,141.68,dree1234,,language,PG,more1255,,,,2020,false
lenn1234,Len,Papunesia,-9.12,142.1,lenn1234,,language,PG,more1255,,,,,false
namo1246,Namo,Papunesia,-9.12416,141.824,namo1246,mxw,language,PG,more1255,,mxw,,,false
bens1234,Bensbach,Papunesia,-8.80806,141.253,bens1234,,dialect,,more1255,gunt1241,gnt,,,
koro1319,Korombo 1,Papunesia,-8.80806,141.253,koro1319,,dialect,,more1255,gunt1241,gnt,,,
kann1258,Wando (Kan),Papunesia,-8.80806,141.253,kann1258,,dialect,,more1255,gunt1241,gnt,,,
bala1317,Balamuk,Papunesia,-8.80806,141.253,bala1317,,dialect,,more1255,gunt1241,gnt,,,
koro1320,Korombo 2,Papunesia,-8.80806,141.253,koro1320,,dialect,,more1255,gunt1241,gnt,,,
ranm1238,Ránmo,Papunesia,-8.56161,141.226,ranm1238,,dialect,,more1255,blaf1238,bfh,,,
mbla1238,Mblafe,Papunesia,-8.56161,141.226,mbla1238,,dialect,,more1255,blaf1238,bfh,,,
wara1294,Anta-Komnzo-Wára-Wérè-Kémä,Papunesia,-8.64917,141.52,wara1294,tci,language,PG,more1255,,tci,,,false
kunj1246,Kánchá,Papunesia,-8.92289,141.424,kunj1246,pep,language,PG,more1255,,pep,,,false
ngkr1237,Ngkrnc of Tomerau and Rawa Biru,Papunesia,-8.91812,140.897,ngkr1237,,dialect,,more1255,smar1235,kxq,,,
badi1247,Ngkontar Baedi,Papunesia,-8.85301,140.753,badi1247,khd,language,ID,more1255,,khd,,,false
ngka1235,Ngkontar Ngkolmpu,Papunesia,-8.87044,140.818,ngka1235,kcd,language,ID;PG,more1255,,kcd,,,false
west2991,West Zyryan,Eurasia,64.0527,54.946,west2991,,dialect,,ural1272,komi1268,kpv,,,
nort3401,North Zyryan,Eurasia,64.0527,54.946,nort3401,,dialect,,ural1272,komi1268,kpv,,,
sout3379,South Zyryan,Eurasia,64.0527,54.946,sout3379,,dialect,,ural1272,komi1268,kpv,,,
cent2400,Central Zyryan,Eurasia,64.0527,54.946,cent2400,,dialect,,ural1272,komi1268,kpv,,,
nort2244,North Permyak,Eurasia,59.6602,54.7959,nort2244,,dialect,,ural1272,komi1269,koi,,,
sout2463,South Permyak,Eurasia,59.6602,54.7959,sout2463,,dialect,,ural1272,komi1269,koi,,,
zyud1238,Zyuzdin,Eurasia,59.6602,54.7959,zyud1238,,dialect,,ural1272,komi1269,koi,,,
peri1263,Peripheral South Udmurt,Eurasia,56.12921,52.63548,peri1263,,dialect,,ural1272,udmu1245,udm,,,
bere1252,Berezover Khanty,Eurasia,62.4308,66.1218,bere1252,,dialect,,ural1272,khan1273,kca,,,
nort2672,Kazym Khanty,Eurasia,62.4308,66.1218,nort2672,,dialect,,ural1272,khan1273,kca,,,
sury1234,Suryskarer Khanty,Eurasia,62.4308,66.1218,sury1234,,dialect,,ural1272,khan1273,kca,,,
midd1353,Middle Ob Khanty,Eurasia,62.4308,66.1218,midd1353,,dialect,,ural1272,khan1273,kca,,,
vach1239,Vach Khanty,Eurasia,60.10378,79.873651,vach1239,,dialect,,ural1272,fare1244,,,,
vasj1234,Vasjugan Khanty,Eurasia,60.10378,79.873651,vasj1234,,dialect,,ural1272,fare1244,,,,
agan1234,Agan,Eurasia,61.25,73.35,agan1234,,dialect,,ural1272,surg1248,,,,
east2325,Tromagan,Eurasia,61.25,73.35,east2325,,dialect,,ural1272,surg1248,,,,
pimm1234,Pim,Eurasia,61.25,73.35,pimm1234,,dialect,,ural1272,surg1248,,,,
liki1242,Likisovskoje,Eurasia,61.25,73.35,liki1242,,dialect,,ural1272,surg1248,,,,
juga1234,Jugan,Eurasia,61.25,73.35,juga1234,,dialect,,ural1272,surg1248,,,,
saly1246,Salym Khanty,Eurasia,61.25,73.35,saly1246,,dialect,,ural1272,surg1248,,,,
kild1236,Kildin Saami,Eurasia,68.2158,35.8348,kild1236,sjd,language,RU,ural1272,,sjd,,,false
ters1235,Ter Saami,Eurasia,67.2458,38.5061,ters1235,sjt,language,RU,ural1272,,sjt,,,false
kemi1239,Kemi Saami,Eurasia,67.093,27.537,kemi1239,sjk,language,FI,ural1272,,sjk,1829,1840,false
skol1241,Skolt Saami,Eurasia,68.8326,29.7204,skol1241,sms,language,FI;NO;RU,ural1272,,sms,,,false
inar1241,Inari Saami,Eurasia,69.4229,27.8658,inar1241,smn,language,FI;NO,ural1272,,smn,,,false
